alamat,BAE,industri,sub_industri,email,fax,kegiatan_usaha_utama,kode_emiten,nama_emiten,NPWP,papan_pencatatan,sektor,sub_sektor,tanggal_pencatatan,telepon,website;;;;;;
"Jl Pulo Ayang Raya Blok OR No. 1
Kawasan Industri Pulogadung
Jakarta,PT. Raya Saham Registra,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Investor@astra-agro.co.id,""461-6655, 461-6677, 461-6688"",Agriculture Plantation,AALI,Astra Agro Lestari Tbk,01.334.427.0-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id";;;;;;
Sahid Sudirman Centre Lt. 10, Jl. Jend. Sudirman No. 86, Jakarta 10220,PT. Adimitra Jasa Korpora,Media,Penerbitan,corsec@mahakax.com,(021) 573 9210,Media dan Percetakan,ABBA,Mahaka Media Tbk,01.609.052.4-054.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2002-04-03T00:00:00,(021) 573 9203,www.mahakamedia.com;;;;;;
Plaza Asia Lt. 27 Jl. Jend. Sudirman Kav. 59 Jakarta Selatan ,PT. Raya Saham Registra,Asuransi,Asuransi Umum,contactus@abda.co.id,5140 1698 ,Asuransi Kerugian ,ABDA,Asuransi Bina Dana Arta Tbk,01.362.014.1-054.000 ,Pengembangan,Keuangan,Asuransi,1989-07-06T00:00:00,5140 1688,www.abda.co.id;;;;;;
Gedung TMT 1 Lantai 18 Jl. Cilandak KKO No. 1 Jakarta 12560,PT. Datindo Entrycom,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ,ABMM,ABM Investama Tbk,02.504.191.4-054.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,2011-12-06T00:00:00,021-29976767,www.abm-investama.com;;;;;;
"Gedung Kawan Lama Lantai 5. Jl. Puri Kencana No. 1, Kembangan Selatan, Kembangan, Jakarta Barat 11610,PT. EDI Indonesia,Ritel Khusus,Ritel Barang Rumah Tangga,	toto@acehardware.co.id,	021 - 5824022,Perdagangan,ACES,Ace Hardware Indonesia Tbk,	01.721.123.6-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-11-06T00:00:00,	021 - 5822222,www.acehardware.co.id";;;;;;
ACSET Building, Jalan Majapahit No.26, Kelurahan Petojo Selatan, Kecamatan Gambir, Jakarta 10160,PT. Sinartama Gunita,Konstruksi Bangunan,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,Jasa Konstruksi untuk bangunan komersial dan infrastruktur,ACST,PT Acset Indonusa Tbk.,01.709.626.4-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2013-06-24T00:00:00,(021) 3511961,www.acset.co;;;;;;
"Garden Shopping Avenue B/08/BA, Central Park
Podomoro City, RT.15/RW.5
Tanjung Duren Selatan, Grogol Petamburan
Jakarta Barat 11470,PT. Sinartama Gunita,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,corsec@cashlez.com,0,Jasa Finansial Teknologi dan Pembayaran Digital,CASH,PT Cashlez Worldwide Indonesia Tbk.,73.272.717.7-036.000,Akselerasi,Teknologi,Perangkat Lunak & Jasa TI,2020-05-04T00:00:00,(021) 29860750,www.cashlez.com";;;;;;
"Menara Cardig, lantai 3, Jl. Raya Halim Perdanakusuma, Jakarta 13650,PT. Datindo Entrycom,Operator Infrastruktur Transportasi,Operator Bandar Udara,corporatesecretary@pt-cas.com,(021) 80885001,""Jasa dalam industri penerbangan, termasuk ground handling, pengurusan kargo, penyedia makanan dalam penerbangan, dan keamanan serta pemeliharaan pesawat terbang"",CASS,Cardig Aero Services Tbk,02.995.094.6-054.000,Pengembangan,Infrastruktur,Infrastruktur Transportasi,2011-12-05T00:00:00,(021) 80885050,www.pt-cas.com";;;;;;
"Kp. Patumbak Jl. Pertahanan No. 111 Ds V Desa Patumbak Kab. Deli Serdang – Sumatera Utara, 20361,PT. Adimitra Jasa Korpora,Barang Rumah Tangga,Produsen Furnitur Rumah,corsec@cbm-furniture.com,+6261 785226,""Bergerak dalam bidang industri perdagangan besar dan eceran, pengolahan serta aktivitas jasa lainnya"",CBMF,PT Cahaya Bintang Medan Tbk,31.481.993.9-125.000,Pengembangan,Barang Konsumen Non-Primer,Barang Rumah Tangga,2020-04-09T00:00:00,+6261 7852277,www.cbm-furniture.com";;;;;;
"Grand Slipi Tower lantai 45 Jalan Letjen S. Parman Kav 22-24 RT.001/ RW.004, Kel Palmerah, Kec. Palmerah, Kota Administrasi Jakarta Barat,PT. Adimitra Jasa Korpora,Kelistrikan,Komponen & Peralatan Kelistrikan,corsec@ccsi.co.id,021-29865984,""Industri Kabel Serat Optik, Industri Kabel Listrik dan Elektronik lainnya, Industri Pipa Plastik dan perlengkapanny"",CCSI,PT Communication Cable Systems Indonesia Tbk.,01.071.235.4-055.000,Pengembangan,Perindustrian,Barang Perindustrian,2019-06-18T00:00:00,021-29865963,www.ccsi.co.id";;;;;;
"Jl. INDUSTRI  SELATAN  3 JABABEKA TAHAP II  GG NO. 1  RT 000 RW 000  PASIRSARI CIKARANG SELATAN, KAB. BEKASI  JAWA BARAT 17532,PT. Adimitra Jasa Korpora,Makanan Olahan,Makanan Olahan,Emmanuel Dwi Iriyadi <dwi.iriyadi@id.wilmar-intl.com>,021 - 8937143,Industri Makanan,CEKA,PT Wilmar Cahaya Indonesia Tbk.,01.110.511.1-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1996-07-09T00:00:00,""021- 89830003, 89830004"",www.wilmarcahayaindonesia.com";;;;;;
"TCC Batavia Tower One 16th & 19 Floor
Jl. KH. Mas Mansyur Kav. 126
Jakarta 10220,PT. Datindo Entrycom,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,cti@centratamagroup.com,021 - 2967 8241,Computer and Services,CENT,PT Centratama Telekomunikasi Indonesia Tbk.,01.280.080.1-054.000,Pengembangan,Infrastruktur,Telekomunikasi,2001-11-01T00:00:00,021 - 2967 8240,www.centratamagroup.com";;;;;;
Wisma SLIPI, Lt. 6, Jl. Let.Jend. S. Parman Kav. 12 Jakarta 11480,PT. Blue Chip Mulia,Pembiayaan Konsumen,Pembiayaan Konsumen,corporate_secretary@clipan.co.id,021-5308026,Pembiayaan,CFIN,Clipan Finance Indonesia Tbk,01.308.352.2-054.000,Utama,Keuangan,Jasa Pembiayaan,1990-08-27T00:00:00,021-5308005,www.clipan.co.id;;;;;;
Jl. Industri Ubrug No. 70, Kp. Cisampih, Kel. Cibinong, Kec. Jatiluhur, Kab. Purwakarta, Jawa Barat 41152,PT. Sinartama Gunita,Barang Kimia,Barang Kimia Dasar,corp.sec@chemstarindonesia.com,(62-264) 8222 817,Industri dan perdagangan bahan kimia spesialisasi untuk industri tekstil,CHEM,PT Chemstar Indonesia Tbk,02.342.003.7-038.000,Pengembangan,Barang Baku,Barang Baku,2022-07-08T00:00:00,(62-264) 8222 823 / 824,www.chemstarindonesia.com;;;;;;
"Jl. Industri III No. 5, Kelurahan Utama, Kecamatan Cimahi Selatan, Kota Cimahi Jawa Barat Indonesia,PT. Sinartama Gunita,,,,(6222) 6031855,""Perindustrian, perdagangan dan jasa Furniture."",CINT,PT Chitose Internasional Tbk,011184793441000,PENGEMBANGAN,CONSUMER GOODS INDUSTRY,HOUSEWARE,2014-06-27T00:00:00,(6222) 6031900,www.chitose-indonesia.com";;;;;;
Gedung Bank Panin Lantai 2 Jln Jend Sudirman Senayan Gelora Tanah Abang Jakarta Pusat 10270,PT. Ficomindo Buana Registrar,Logam & Mineral,Alumunium,corsec@citamineral.com,021-72789885,Pertambangan,CITA,Cita Mineral Investindo Tbk,01.670.786.1-091.000,Pengembangan,Barang Baku,Barang Baku,2002-03-20T00:00:00,021-7251344,citamineral.com;;;;;;
"Sentul International Convention Center, SICC Tower, Lantai 3
Jl. Jend. Sudirman No. 1, Sentul City,,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@naturacity.co.id,+62 21 87953449,""Pembangunan, Perdagangan dan Jasa yang berhubungan dengan Real Estate Properti"",CITY,PT Natura City Developments Tbk.,03.193.818.6-403.000,Utama,Properti & Real Estat,Properti & Real Estat,2018-09-28T00:00:00,+62 21 87953448,www.naturacity.co.id";;;;;;
"Menara Bidakara 2 Lt 17
Jln. Jend. Gatot Subroto Kav. 71-73
Menteng Dalam, Tebet
Jakarta Selatan 12870,PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,""Hotel, Resor & Kapal Pesiar"",corporate.secretary@cpr.co.id,021-31996267,Bergerak dalam bidang akomodasi (jasa perhotelan),CLAY,PT Citra Putra Realty Tbk,03.036.037.4-063.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2019-01-18T00:00:00,""021-29069370, 021-31996270"",https://www.cpr.co.id/";;;;;;
"Jl Raya A. Yani 41-43, Kompleks Central Square Blok C-1, Gedangan Sidoarjo - 61254

,PT. Bima Registra,Minuman,Minuman Ringan,corsec@tanobelfood.com,031 – 8544574,Air Minum Dalam Kemasan,CLEO,PT Sariguna Primatirta Tbk,01.233.453.8-641.000,Utama,Barang Konsumen Primer,Makanan & Minuman,2017-05-05T00:00:00,031 – 8544400,www.tanobel.com";;;;;;
"Jl. Cideng Barat No.15
Jakarta Pusat 10140,PT. Sinartama Gunita,Barang Kimia,Barang Kimia Khusus,herlina@colorpak.co.id,021  - 590-1963 ,Chemicals,CLPI,Colorpak Indonesia Tbk,01.061.759.5-054.000,PENGEMBANGAN,Barang Baku,Barang Baku,2001-11-30T00:00:00,021-590-19-62,www.colorpak.co.id";;;;;;
"GEDUNG CMNP
JL. YOS SUDARSO KAV. 28
JAKARTA 14350,PT. Raya Saham Registra,Operator Infrastruktur Transportasi,Operator Jalan Tol & Rel,cmnp@citra.co.id,(021) 65306391,Penyelenggaraan Jalan Tol,CMNP,Citra Marga Nusaphala Persada Tbk,01.062.151.4-054.000,Utama,Infrastruktur,Infrastruktur Transportasi,1995-01-10T00:00:00,(021) 65306930 (hunting),www.cmnp.co.id";;;;;;
Jl. Raya Pluit Selatan Blok S No. 8 I-J, RT022/RW008, Penjaringan, Jakarta Utara 14440, Indonesia,PT. Ficomindo Buana Registrar,Material Konstruksi,Material Konstruksi,investor@cemindo.com,(021) 21889991,Industri Semen,CMNT,PT Cemindo Gemilang Tbk,03.148.714.3-041.000,Utama,Barang Baku,Barang Baku,2021-09-08T00:00:00,(021) 21889999,www.cemindo.com;;;;;;
"Redhouse AirAsia, Jalan Marsekal Surya Dharma (M1) No. 1 , Neglasari, Tangerang 15127,PT. Bima Registra,Maskapai Penerbangan,Maskapai Penerbangan,iaa_corporatesecretary@airasia.com,(021) 29850889,""Jasa konsultasi bisnis dan manejemen, perdagangan umum"",CMPP,PT AirAsia Indonesia Tbk,01.482.815.6-054.000,Pengembangan,Transportasi & Logistik,Transportasi,1994-12-08T00:00:00,(021) 29850888,https://ir.aaid.co.id/";;;;;;
Rukan Taman Meruya Jl. Komp. Rukan Taman Meruya No.N/27-28 Jakarta Barat 11620,PT. Datindo Entrycom,Makanan Olahan,Produk Susu Olahan,corsec@cimory.com,+62 21 5874630,Produk Susu Premium dan Konsumen Premium,CMRY,PT Cisarua Mountain Dairy Tbk,02.405.764.8-431.000,Utama,Barang Konsumen Primer,Makanan & Minuman,2021-12-06T00:00:00,+62 21 5874630,www.cimory.com;;;;;;
"Sinarmas MSIG Tower, Lantai 9, Jl. Jendral Sudirman Kav.21, Setiabudi, Karet, Jakarta Selatan,PT. Sinartama Gunita,Batu Bara,Distribusi Batu Bara,wim.andrian@energigroupindonesia.com,021-80511134,Penambangan Batubara,CNKO,Exploitasi Energi Indonesia Tbk,01.901.192.3-054.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2001-11-20T00:00:00,""021-80511130";;;;;;
021-80511131;;;;;;
021-80511132;;;;;;
"021-80511133"",www.energigroupindonesia.com";;;;;;
Jl. Raya Bogor Km27, Ciracas, Jakarta Timur,,Pakaian & Barang Mewah,Tekstil,achmad_zalafik@ina.toray.co.id;" atsan_miyana@ina.toray.co.id,(021) 8704294,Industri Tekstil ,CNTX,PT Century Textile Industry Tbk,01.000.165.9-054.000,Pengembangan,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,1979-05-22T00:00:00,""(021) 87711907, 8716624, 8716962"",0";;;;;
"Gedung Centennial Tower Lt 21 Unit H Jl. Jenderal Gatot Subroto No. 24-25 Jakarta Selatan 12930,PT. Adimitra Jasa Korpora,Batu Bara,Produksi Batu Bara,corporate@blackdiamondtbk.com ,(021) 22958324,Pertambangan Batubara melalui Entitas Anak,COAL,PT Black Diamond Resources Tbk,81.808.260.4-012.000,Pengembangan,Energi,""Minyak, Gas & Batu Bara"",2022-09-07T00:00:00,(021)22958323,www.blackdiamontbk.com";;;;;;
"Jl. Dadali No. 16, RT. 001 RW 003,
Kel. Garuda, Kec. Andir, Kota Bandung,PT. Sinartama Gunita,Makanan Olahan,Makanan Olahan,corsec@wahana-interfood.com,+62 22 6033265,Menjalankan Usaha yang bergerak di bidang produksi kakao dan cokelat,COCO,PT Wahana Interfood Nusantara Tbk.,02.567.517.4-428.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2019-03-20T00:00:00,+62 22 6011375,www.wahana-interfood.com";;;;;;
Graha Atrium, Lt. 6, Jl. Senen Raya No. 135, Jakarta 10410,PT. Bima Registra,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@cowelldev.com,386 2919,Real Estate,COWL,COWELL DEVELOPMENT Tbk,01.307.825.8-028.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2007-12-19T00:00:00,386 7868,-;;;;;;
"Jl. Ancol VIII/1
Jakarta 14430,PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,""Ikan, Daging & Produk Unggas"",hadijanto@cp.co.id,021-690 7324,Animal Feed,CPIN,Charoen Pokphand Indonesia Tbk,01.000.172.5-092.000,UTAMA,Barang Konsumen Primer,Makanan & Minuman,1991-03-18T00:00:00,021-691 9999,www.cp.co.id";;;;;;
"Multipiranti Graha Building, Lantai 4
Jl. Raden Inten II No.2, Buaran, Duren Sawit
Jakarta Timur, 13440 - Indonesia,PT. Ficomindo Buana Registrar,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@caprinusa.com,(021) 8632 822,Menjalankan usaha dalam bidang properti,CPRI,PT Capri Nusa Satu Properti Tbk.,03.171.557.6-008.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2019-04-11T00:00:00,(021) 8606 151,www.caprinusa.com";;;;;;
"Treasury Tower Floor 8, District 8, JL Jendral Sudirman Kav 52-53, SCBD, Jakarta Selatan,PT. Bima Registra,Produk Makanan Pertanian,""Ikan, Daging & Produk Unggas"",armand.ardika@cpp.co.id,50191808,Agriculture Plantation,CPRO,Central Proteina Prima Tbk,01.002.946.0-054.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2006-11-28T00:00:00,50191788,www.cpp.co.id";;;;;;
"Komplek Cemara Asri Blok C6 No 12
Sampali, Percut Sei Tuan, Deli Serdang
Sumatera Utara 20371 ,PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,""Ikan, Daging & Produk Unggas"",corsec@tobasurimi.com,+62 616871007,""Industri Pembekuan, Pengolahan, Pengawetan, Perdagangan Besar Makanan dan Minuman serta Hasil Perikanan"",CRAB,PT Toba Surimi Industries Tbk,01.718.918.4-125.00,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2022-08-10T00:00:00,+62 616871022,www.tobasurimi.com";;;;;;
"Jl. Daan Mogot Raya No.234, 
Jakarta 11510,PT. Datindo Entrycom,Ritel Khusus,Ritel Barang Rumah Tangga,corsec@csahome.com,566-9445,Distributor / Retail,CSAP,Catur Sentosa Adiprana Tbk,01.367.223.3-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-12-12T00:00:00,""566-8801, 567-2622"",www.csahome.com";;;;;;
"Kawasan Industri Olympic
Jalan Kaum Sari No. 1, Kedung Halang Talang
Bogor 16151, Jawa Barat
,PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corporate.secretary@csis.co.id,0251 8666 875,Pengembangan Properti Melalui Entitas Anak Serta Hasil Industri Furnitur dan Jasa Pelaksana Konstruksi Umum,CSIS,PT Cahayasakti Investindo Sukses Tbk,01.632.966.6-404.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2017-05-10T00:00:00,0251 8666 873/874,www.csis.co.id";;;;;;
"Jl. Cikini Raya No. 60A
Jakarta Pusat, 10330
Indonesia,PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,Rumah Makan,texas@texaschicken.co.id,(021) 314 0037,Restoran dan perdagangan,CSMI,PT Cipta Selera Murni Tbk.,01.366.769.6-073.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2020-04-09T00:00:00,(021) 314 0411,www.ciptaseleramurni.co.id";;;;;;
JL. Pluit Selatan Raya Komplek CBD Pluit Blok R2 B-25 Jakarta Utara, 14440 – Indonesia ,PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,corpsec@csr.co.id,(021) 66673310-11,Menjalankan usaha dalam bidang Perkebunan dan Industri Kelapa Sawit. ,CSRA,PT Cisadane Sawit Raya Tbk.,01.062.121.7-038.000,Utama,Barang Konsumen Primer,Makanan & Minuman,2020-01-09T00:00:00,(021) 66673312-15, www.csr.co.id ;;;;;;
"World Trade Centre (WTC) 5
Lantai 16
Jl.Jenderal Sudirman Kav.29-31
Jakarta Selatan,PT. Raya Saham Registra,Logam & Mineral,Baja & Besi,corsec@citratubindo.co.id,(021) 5712317,Metal and Alied Products,CTBN,Citra Tubindo Tbk,01.258.311.8-054.000,Utama,Barang Baku,Barang Baku,1989-11-28T00:00:00,(021) 5250609,www.citratubindo.com";;;;;;
"Ciputra World 1
DBS Bank Tower Lantai 39
Jl. Prof. DR. Satrio Kav. 3-5
Jakarta 12940,PT. EDI Indonesia,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,investor@ciputra.com,(021) 2988-8585,""Pembangunan, investasi, perdagangan, industri dan jasa"",CTRA,Ciputra Development Tbk,01.374.211.9-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1994-03-28T00:00:00,""(021) 2988-5858, 2988-6868, 2988-7878"",www.ciputradevelopment.com";;;;;;
"Jl. Prof. Dr. Satrio Blok C4 No. 10, Kel. Kuningan Timur, Kec. Setiabudi, Jakarta Selatan 12950,PT. EDI Indonesia,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,""legal@citatah.co.id";;;;;;
loura@citatah.co.id;;;;;;
fa@citatah.co.id;",021 - 3972 2028,Land / Stone Quarrying,CTTH,Citatah Tbk,01.104.748.7-054.000,Pengembangan,Perindustrian,Barang Perindustrian,1996-07-03T00:00:00,021 - 3972 2018,http://www.citatah.co.id
Jl. Palakali Raya, Kec.Kukusan, Kec.Beji, Depok,Jawa Barat"",PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,info@diamondland.co.id,(021) 29415959,Properti (Real Estate),DADA,PT Diamond Citra Propertindo Tbk.,72.908.695.9-412.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2020-02-14T00:00:00,(021) 29415959,http://www.diamondland.id/";;;;;
"Chase Plaza Tower Lt. 21
Jl. Jend. Sudirman Kav. 21
Jakarta,,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Greg@dutaanggada.com,520-8300,Property dan Real Estate,DART,Duta Anggada Realty Tbk,01.366.015.4-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1990-05-08T00:00:00,520-8000,0";;;;;;
"Gedung EightyEight@Kasablanka Tower A Lantai 28 dan 37 Jl. Casablanca Raya Kav. 88 RT. 007 RW. 006 Menteng Dalam Tebet Jakarta Selatan DKI Jakarta,PT. Datindo Entrycom,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,corporate.secretary@watsons.co.id,021-2128-3002,Perdagangan Produk Kesehatan dan Kecantikan,DAYA,PT Duta Intidaya Tbk.,	02.460.408.4-063.000,Pengembangan,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,2016-06-28T00:00:00,021-2128-3001,www.watsons.biz.id";;;;;;
Equity Tower, Lantai 17 Unit F SCBD Lot. 9, Jl. Jend. Sudirman Kav. 52 – 53, Jakarta 12190,PT. Raya Saham Registra,Jasa & Konsultan TI,Jasa & Konsultan TI,corpsec@dci-indonesia.com,+62 21 2903 7600,Bergerak di bidang aktivitas hosting dan aktivitas terkait lainnya,DCII,PT DCI Indonesia Tbk,31.366.071.4-012.000,Pengembangan,Teknologi,Perangkat Lunak & Jasa TI,2021-01-06T00:00:00,+62 21 2903 7500,www.dci-indonesia.com;;;;;;
"Kirana Two Office Tower 12th floor
Jalan Boulevard Timur No. 88
Kelapa Gading, Jakarta Utara, 14240,PT. Sinartama Gunita,Logistik & Pengantaran,Logistik & Pengantaran,corsec@dfilogistics.com,+62 (021) 29677799,Jasa Pengurusan Transportasi (Freight Forwarding),DEAL,PT Dewata Freightinternational Tbk.,01.696.054.4-904.000,Pengembangan,Transportasi & Logistik,Logistik & Pengantaran,2018-11-11T00:00:00,+62 (021) 29688899,www.dfilogistics.com";;;;;;
"Tower C, Lantai 5, 18 Parc Place SCBD
Jl. Jenderal  Sudirman Kav. 52 - 53 Jakarta 12190
,PT. Adimitra Jasa Korpora,Pembiayaan Konsumen,Pembiayaan Konsumen,danasupra@cbn.net.id,+62 21 51401159,Pembiayaan,DEFI,Danasupra Erapacific Tbk,01.709.492.1-054.000,Pengembangan,Keuangan,Jasa Pembiayaan,2001-07-06T00:00:00,+62 21 51401157,www.danasupra.com";;;;;;
Jl. Raya Serpong KM2, Kel. Pakulonan, Kec. Serpong Utara, Tangerang Selatan,PT. Bima Registra,Ritel Khusus,Ritel Barang Rumah Tangga,corp.secretary@depobangunan.co.id,021–53120707,Supermarket dan/atau Retail Bahan Bangunan,DEPO,PT Caturkarda Depo Bangunan Tbk,01.756.274.5-415.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2021-11-25T00:00:00,021–53120808,www.depobangunan.co.id;;;;;;
"Gedung Bakrie Tower Lantai 8, Rasuna Epicentrum Jalan HR. Rasuna Said, Kuningan Jakarta, 12940,PT. Ficomindo Buana Registrar,""Pendukung Minyak, Gas & Batu Bara"",""Jasa & Perlengkapan Minyak, Gas & Batu Bara"",corporate.secretary@ptdh.co.id,021-29912364 / 29912365,Jasa Pertambangan,DEWA,Darma Henwa Tbk,01.565.295.1-091.000,Utama,Energi,""Minyak, Gas & Batu Bara"",2007-09-26T00:00:00,021-29912350,www.ptdh.co.id";;;;;;
"Kampung Cimenyan, RT 003/ RW 003 Desa Cintaasih, Kecamatan Gekbrong, Cianjur, Jawa Barat 43261,PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,""Ikan, Daging & Produk Unggas"",corsec@dewishrifarmindo.com,,Bergerak di Bidang Budidaya Ayam Ras Pedaging dan Perdagangan Eceran Hewan Ternak,DEWI,PT Dewi Shri Farmindo Tbk,930350889406000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2022-07-18T00:00:00,(62-21) 5880094,www.dewishrifarmindo.com";;;;;;
"Jl. Raung No.15, Gajahmungkur, Semarang - 50232,PT. Sinartama Gunita,Pariwisata & Rekreasi,""Hotel, Resor & Kapal Pesiar"",corporate@dafamproperty.com,-,""Pengembangan Properti, Pengelolaan Gedung, Sewa Gedung , Perhotelandan Jasa Manajemen Hotel Melalui Entitas Anak"",DFAM,PT Dafam Property Indonesia Tbk,02.768.793.8-512.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2018-04-27T00:00:00,""+6224 8312735 , +6224 8506459"",www.dafamproperty.com";;;;;;
ITS Office Tower (Niffaro Park) Lantai 20-21 Jalan Raya Pasar Minggu KM 18. Pasar Minggu, Jakarta,PT. Adimitra Jasa Korpora,Konstruksi Bangunan,Konstruksi Bangunan,corporate@nusakonstruksi.com,7396580,Jasa Konstruksi,DGIK,Nusa Konstruksi Enjiniring  Tbk,01.370.350.9-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2007-12-19T00:00:00,7221003; 7267603,http://www.nusakonstruksi.com;;;;;
"Gedung Graha Anam Lantai 2
Jl. Cikditiro No. 11 A, B, C,
Kelurahan Gondangdia, Kecamatan Menteng
Jakarta Pusat 10350, Indonesia,PT. Adimitra Jasa Korpora,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,corsec@diagnos.co.id,0,Bergerak Dalam Bidang Aktivitas Pelayanan Penunjang Kesehatan,DGNS,PT Diagnos Laboratorium Utama Tbk,02.492.628.9-076.000,Pengembangan,Kesehatan,Jasa & Peralatan Kesehatan,2021-01-15T00:00:00,+62 21 3193 1883,www.diagnos.co.id";;;;;;
"Gedung Sahid Sudirman Center Lantai 19
Jalan Jend. Sudirman Kav. 86, Jakarta 10220, Indonesia,PT. Bima Registra,Media,Penerbitan,investor@arkadiacorp.com,+62 21 7241887,Portal Web dan Konten Multimedia Melalui Entitas Anak,DIGI,PT Arkadia Digital Media Tbk,03.211.456.3-012.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2018-09-18T00:00:00,+62 21 7241888,www.arkadiacorp.com";;;;;;
"Intiland Tower, Penthouse floor, Jl. Jend. Sudirman 32, Jakarta 10220, Indonesia,,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,info@intiland.com,+62 21 570 0015,Property dan Real Estate,DILD,Intiland Development Tbk,01.060.126.8-054.000,Utama,Properti & Real Estat,Properti & Real Estat,1991-09-04T00:00:00,""+62 21 570 1912, 570 8088"",www.intiland.com";;;;;;
"AXA Tower Lt. 7, Suite 5, Kuningan City
Jl Prof. Dr. Satrio Kav. 18, Setiabudi
Jakarta 12940
,PT. Adimitra Jasa Korpora,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,corporate@ptdvn.com,+6221 30480713,Bergerak dalam bidang usaha Jasa Teknologi Informasi dan Digital,DIVA,PT Distribusi Voucher Nusantara Tbk,02.355.670.7-022.000,Pengembangan,Teknologi,Perangkat Lunak & Jasa TI,2018-11-27T00:00:00,+6221 30480712,www.ptdvn.com";;;;;;
"Plaza Asia Lantai 6 Jl.Jend.Sudirman Kav 59 Jakarta - 12190,PT. Sinartama Gunita,Logam & Mineral,Logam & Mineral Lainnya,	021-515 3533,	021-515 3533,Pertambangan,DKFT,Central Omega Resources Tbk,	01.690.378.3-091.000,Pengembangan,Barang Baku,Barang Baku,1997-11-21T00:00:00,	021-515 3533,centralomega.com";;;;;;
"Jl. Inspeksi Tarum Barat, Desa Setiadharma, Kec. Tambun Bekasi Timur ,PT. Raya Saham Registra,Minuman,Minuman Keras,investor_relation@deltajkt.co.id,""880-0513, 881-9423, 881-9424 "",Industri air minum dalam kemasan,DLTA,Delta Djakarta Tbk,01.000.190.7-092.000 ,Utama,Barang Konsumen Primer,Makanan & Minuman,1984-02-27T00:00:00,""021- 882-25-20, 880-05-11, 916-30-85 "",www.deltajkt.co.id";;;;;;
